
--------------------------------------------------------------------------------------------------------------------------------------------------------

--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
SMG  | 1943 || sten_6             | UK        | Sten Mark VI              ||                  | 9mm          | select | OBB integral-silencer
--------------------------------------------------------------------------------------------------------------------------------------------------------
Submachine Gun (SMG) - Telescoping bolt
--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
SMG  | 1948 || sa_23              | CZ        | Sa 23                     ||                  | 9mm          |        | telescoping-bolt
SMG  | 1948 || sa_25              | CZ        | Sa 25                     ||                  | 9mm          |        | telescoping-bolt
SMG  | 1952 || sa_24              | CZ        | Sa 24                     ||                  | 762_tokarev  |        | telescoping-bolt
SMG  | 1952 || sa_26              | CZ        | Sa 26                     ||                  | 762_tokarev  |        | telescoping-bolt
SMG  | 1954 || uzi                | Israel    | Uzi (9mm)                 ||                  | 9mm          | select | telescoping-bolt
SMG  | 1954 || uzi_45             | Israel    | Uzi (45 ACP)              ||                  | 45_acp       | select | telescoping-bolt
SMG  | 1959 || de_mp2             | Germany   | MP2                       ||                  | 9mm          | select | telescoping-bolt
SMG  | 1969 || steyr_mpi_69       | Steyr     | MPi 69                    ||                  | 9mm          |        | telescoping-bolt
SMG  | 1980 || mini_uzi           | Israel    | Mini Uzi (9mm)            ||                  | 9mm          | select | telescoping-bolt
SMG  | 1980 || mini_uzi_45        | Israel    | Mini Uzi (45 ACP)         ||                  | 45_acp       | select | telescoping-bolt
SMG  | 1981 || steyr_mpi_81       | Steyr     | MPi 81                    ||                  | 9mm          |        | telescoping-bolt
--------------------------------------------------------------------------------------------------------------------------------------------------------

--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
SMG  | 1918 || mp_18              | Germany   | Schmeisser MP-18/I        ||                  |              | full   | OBB
SMG  | 1920 || bergman_1920       | SIG       | Bergmann 1920             ||                  | 30_luger     | full   | OBB
SMG  | 1920 || bergman_1920_763   | SIG       | Bergmann 1920 (763)       ||                  | 763_mauser   | full   | OBB
SMG  | 1927 || arsenal_m23        | Estonia   | Arsenal M23 SMG           ||                  | 9mm _bl      | full   | OBB
SMG  | 1928 || mp_28              | Germany   | Schmeisser MP-28/II       ||                  |              | select | OBB DSSF
